,영화 대표코드,영화명,누적관객수
162,20184483,퍼펙트맨,1033310
163,20191183,제미니 맨,302135
164,20193601,장사리 : 잊혀진 영웅들,1110464
165,20196380,몬스터 하우스,58604
166,20195941,소피와 드래곤: 마법책의 비밀,90885
167,20197691,잃어버린 세계를 찾아서,17510
168,20184243,판소리 복서,16827
169,20199446,원스 어폰 어 타임... 인 할리우드,270172
170,20199950,조커,4548651
171,20191589,말레피센트 2,611440
172,20195920,가장 보통의 연애,2543783
173,20184483,퍼펙트맨,1182068
174,20185361,두번할까요,136264
175,20191183,제미니 맨,375620
176,20194223,너를 만난 여름,19205
177,20193601,장사리 : 잊혀진 영웅들,1125480
178,20183407,버티고,11161
179,20190280,날씨의 아이,10363
180,20191029,82년생 김지영,1119908
181,20191589,말레피센트 2,1125565
182,20199950,조커,4960152
183,20195920,가장 보통의 연애,2793361
184,20196136,람보 : 라스트 워,72265
185,20184483,퍼펙트맨,1224676
186,20185361,두번할까요,169448
187,20197054,빅트립: 아기팬더 배달 대모험,32728
188,20198961,더 킹: 헨리 5세,10727
189,19910247,터미네이터2 3D,11743
190,20191029,82년생 김지영,2498957
191,20192083,터미네이터: 다크 페이트,1366821
192,20190280,날씨의 아이,337150
193,20191589,말레피센트 2,1364888
194,20199950,조커,5164442
195,20195920,가장 보통의 연애,2885660
196,20192589,빅 위시,28884
197,20196136,람보 : 라스트 워,92238
198,20195002,블랙머니,13986
199,20198184,빅 2: 황금열쇠 대소동,11152
200,20181434,신의 한 수: 귀수편,1070965
201,20192083,터미네이터: 다크 페이트,2060356
202,20191029,82년생 김지영,3174025
203,20197279,아담스 패밀리,209769
204,20190280,날씨의 아이,520367
205,20191589,말레피센트 2,1432021
206,20199950,조커,5223194
207,20193801,닥터 슬립,46343
208,20195920,가장 보통의 연애,2918536
209,20195002,블랙머니,32690
210,20195002,블랙머니,1050321
211,20181434,신의 한 수: 귀수편,1838565
212,20191029,82년생 김지영,3491855
213,20192083,터미네이터: 다크 페이트,2310256
214,20197721,엔젤 해즈 폴른,126377
215,20197279,아담스 패밀리,319305
216,20198421,좀비랜드: 더블 탭,104508
217,20190280,날씨의 아이,612003
218,20196284,윤희에게,34608
219,20199950,조커,5239865
220,20197803,겨울왕국 2,4437734
221,20195002,블랙머니,1817341
222,20181434,신의 한 수: 귀수편,2085167
223,20191029,82년생 김지영,3619368
224,20192083,터미네이터: 다크 페이트,2383106
225,20197721,엔젤 해즈 폴른,174999
226,20190280,날씨의 아이,642429
227,20198421,좀비랜드: 더블 탭,134012
228,20196284,윤희에게,63686
